document_id,chunk_id,entity_type,entity_id,text,language,embed,city,region,category,latitude,longitude,rating,rating_scale,rating_norm,price_sar,source,source_id,source_url,data_period,snapshot_date,retrieved_at,is_live
places_00000,,place,places_00000,Shawarma Alaz — restaurants in Riyadh. Rated 3.0/5 (3 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6451181,46.7176402,3.0,5.0,0.6,,riyadh_places_kaggle,1.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00001,,place,places_00001,Eben Ezar — restaurants in Riyadh. Rated 3.2/5 (5 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6466308,46.7176585,3.2,5.0,0.64,,riyadh_places_kaggle,2.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00002,,place,places_00002,Chowking — restaurants in Riyadh. Rated 4.5/5 (305 reviews).,en,True,Riyadh,Riyadh,restaurants,24.646194,46.717444,4.5,5.0,0.9,,riyadh_places_kaggle,3.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00003,,place,places_00003,100 islands delights — restaurants in Riyadh. Rated 4.4/5 (239 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6463337,46.7173288,4.4,5.0,0.8800000000000001,,riyadh_places_kaggle,4.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00004,,place,places_00004,CUSINA Cafe — restaurants in Riyadh. Rated 4.7/5 (19 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6456276,46.71711,4.7,5.0,0.9400000000000001,,riyadh_places_kaggle,5.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00005,,place,places_00005,Jollibee — restaurants in Riyadh. Rated 4.7/5 (167 reviews).,en,True,Riyadh,Riyadh,restaurants,24.64646655,46.71722455,4.7,5.0,0.9400000000000001,,riyadh_places_kaggle,6.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00006,,place,places_00006,Lapaz Batchoy — restaurants in Riyadh. Rated 4.3/5 (70 reviews).,en,True,Riyadh,Riyadh,restaurants,24.646476,46.71719,4.3,5.0,0.86,,riyadh_places_kaggle,7.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00007,,place,places_00007,Sushi Cutie — restaurants in Riyadh. Rated 5.0/5 (1 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6464123,46.7166802,5.0,5.0,1.0,,riyadh_places_kaggle,8.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00008,,place,places_00008,Uncle Majid — restaurants in Riyadh. Rated 4.5/5 (19 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6469306,46.7168046,4.5,5.0,0.9,,riyadh_places_kaggle,9.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00009,,place,places_00009,CUSINA — restaurants in Riyadh. Rated 3.9/5 (7 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6463114,46.7166197,3.9,5.0,0.78,,riyadh_places_kaggle,10.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00010,,place,places_00010,Sushi Cutie — restaurants in Riyadh. Rated 1.0/5 (1 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6463114,46.7166197,1.0,5.0,0.2,,riyadh_places_kaggle,11.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00011,,place,places_00011,Soft Stream Sushi — restaurants in Riyadh. Rated 5.0/5 (3 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6463114,46.7166197,5.0,5.0,1.0,,riyadh_places_kaggle,12.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00012,,place,places_00012,Manga Al Zaeem For Juices — restaurants in Riyadh. Rated 3.8/5 (113 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6379299,46.7205781,3.8,5.0,0.76,,riyadh_places_kaggle,13.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00013,,place,places_00013,Classic Restaurant — restaurants in Riyadh. Rated 4.1/5 (203 reviews).,en,True,Riyadh,Riyadh,restaurants,24.64002322,46.71721662,4.1,5.0,0.82,,riyadh_places_kaggle,14.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00014,,place,places_00014,Jareer Sweet — restaurants in Riyadh. Rated 4.5/5 (37 reviews).,en,True,Riyadh,Riyadh,restaurants,24.635669,46.71465,4.5,5.0,0.9,,riyadh_places_kaggle,15.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00015,,place,places_00015,BANA — beauty in Riyadh. (0 reviews).,en,True,Riyadh,Riyadh,beauty,24.633701,46.7169456,,5.0,,,riyadh_places_kaggle,16.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00016,,place,places_00016,Jasmine restaurant — restaurants in Riyadh. Rated 3.8/5 (32 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6307508,46.7172575,3.8,5.0,0.76,,riyadh_places_kaggle,17.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00017,,place,places_00017,Delta pharmacy — pharmacies in Riyadh. Rated 4.7/5 (148 reviews).,en,True,Riyadh,Riyadh,pharmacies,24.660926,46.725106,4.7,5.0,0.9400000000000001,,riyadh_places_kaggle,18.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00018,,place,places_00018,Adam pharmacy — pharmacies in Riyadh. Rated 4.8/5 (274 reviews).,en,True,Riyadh,Riyadh,pharmacies,24.650239,46.706105,4.8,5.0,0.96,,riyadh_places_kaggle,19.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00019,,place,places_00019,Al Rasheed Pastries — restaurants in Riyadh. Rated 4.5/5 (35 reviews).,en,True,Riyadh,Riyadh,restaurants,24.651384,46.706471,4.5,5.0,0.9,,riyadh_places_kaggle,20.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00020,,place,places_00020,DNP — health_and_wellness in Riyadh. Rated 5.0/5 (5 reviews).,en,True,Riyadh,Riyadh,health_and_wellness,24.6618024,46.7294133,5.0,5.0,1.0,,riyadh_places_kaggle,21.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00021,,place,places_00021,Knafet Al Bagajati — restaurants in Riyadh. Rated 5.0/5 (4 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6578829,46.7102456,5.0,5.0,1.0,,riyadh_places_kaggle,22.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00022,,place,places_00022,Saadeddin pastry — restaurants in Riyadh. Rated 4.4/5 (322 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6578829,46.7102456,4.4,5.0,0.8800000000000001,,riyadh_places_kaggle,23.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00023,,place,places_00023,Mehamar w Meshmar — restaurants in Riyadh. Rated 3.0/5 (2 reviews).,en,True,Riyadh,Riyadh,restaurants,24.65801685,46.71026321,3.0,5.0,0.6,,riyadh_places_kaggle,24.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00024,,place,places_00024,Alharfoosh — restaurants in Riyadh. (0 reviews).,en,True,Riyadh,Riyadh,restaurants,24.65801685,46.71026321,,5.0,,,riyadh_places_kaggle,25.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00025,,place,places_00025,Rihanna Of the house — restaurants in Riyadh. Rated 3.6/5 (7 reviews).,en,True,Riyadh,Riyadh,restaurants,24.65801685,46.71026321,3.6,5.0,0.72,,riyadh_places_kaggle,26.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00026,,place,places_00026,ANJAPPAR — restaurants in Riyadh. Rated 4.3/5 (361 reviews).,en,True,Riyadh,Riyadh,restaurants,24.6619838,46.7295868,4.3,5.0,0.86,,riyadh_places_kaggle,27.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00027,,place,places_00027,Furan Al Dayaa — restaurants in Riyadh. Rated 4.5/5 (1170 reviews).,en,True,Riyadh,Riyadh,restaurants,24.662272,46.729495,4.5,5.0,0.9,,riyadh_places_kaggle,28.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00028,,place,places_00028,Starbucks® — restaurants in Riyadh. Rated 4.4/5 (413 reviews).,en,True,Riyadh,Riyadh,restaurants,24.66256968,46.72981895,4.4,5.0,0.8800000000000001,,riyadh_places_kaggle,29.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00029,,place,places_00029,NG Beauty — beauty in Riyadh. (0 reviews).,en,True,Riyadh,Riyadh,beauty,24.6404235,46.7027962,,5.0,,,riyadh_places_kaggle,30.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00030,,place,places_00030,Herfy — restaurants in Riyadh. Rated 4.3/5 (559 reviews).,en,True,Riyadh,Riyadh,restaurants,24.637908,46.703138,4.3,5.0,0.86,,riyadh_places_kaggle,31.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00031,,place,places_00031,HungerStation Market — darkstores in Riyadh. Rated 4.7/5 (7679 reviews).,en,True,Riyadh,Riyadh,darkstores,24.665707,46.728111,4.7,5.0,0.9400000000000001,,riyadh_places_kaggle,32.0,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00032,,place,places_00032,Bab Sharqi Coffee — restaurants in Riyadh. Rated 4.5/5 (26 reviews).,en,True,Riyadh,Riyadh,restaurants,24.644532,46.700351,4.5,5.0,0.9,,riyadh_places_kaggle,33.0,,static,,2026-09-13T06:37:48.725748+00:00,False
